Legend:,,,,
,,,,
1-P =,Untitled 1 Process,,,
,,,,
,,,,
Interval:,1,Seconds,,
DataPoint,LogDate,LogTime,1-P °F,celsius 
506,2/23/2023,6:30:49 PM,364,184.4444444
507,2/23/2023,6:30:50 PM,364,184.4444444
508,2/23/2023,6:30:51 PM,363,183.8888889
509,2/23/2023,6:30:52 PM,363,183.8888889
510,2/23/2023,6:30:53 PM,363,183.8888889
511,2/23/2023,6:30:54 PM,363,183.8888889
512,2/23/2023,6:30:55 PM,363,183.8888889
513,2/23/2023,6:30:56 PM,362,183.3333333
514,2/23/2023,6:30:57 PM,362,183.3333333
515,2/23/2023,6:30:58 PM,362,183.3333333
516,2/23/2023,6:30:59 PM,362,183.3333333
517,2/23/2023,6:31:00 PM,361,182.7777778
518,2/23/2023,6:31:01 PM,361,182.7777778
519,2/23/2023,6:31:02 PM,361,182.7777778
520,2/23/2023,6:31:03 PM,361,182.7777778
